
SOAP Analysis Report Output for starlink_20_sats_40.orb,
Generated: Mon Jan 09 13:33:10 2023,
Start: 2016/04/05 01:42:00.00, Stop: 2016/04/06 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3718 - STARLINK-3255,
   62129.852,   71470.425,    9340.573,
   73602.254,   77214.658,    3612.404,
   79344.425,   86400.000,    7055.575,
Is_True,          77.6616%,
Analysis,STARLINK-1465 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,    2650.053,    2650.053,
    4810.203,   14132.428,    9322.225,
   16291.376,   19876.598,    3585.222,
   22033.433,   31322.623,    9289.191,
   33471.690,   42787.736,    9316.046,
   44933.602,   48526.997,    3593.395,
   50670.759,   60015.030,    9344.271,
   62156.037,   71475.214,    9319.177,
   73604.867,   77202.122,    3597.256,
   79329.746,   86400.000,    7070.254,
Is_True,          77.6471%,
Analysis,STARLINK-3458 - STARLINK-3632,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-2390,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-1138,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-2624,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-3568,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-1433,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-3543,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-1378,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-1580,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-3641,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-3321,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - FALCON 9 DEB11,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-1644,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-3397,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - STARLINK-1849,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3458 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3632 - STARLINK-2390,
       Rise,         Set, Duration (s),
    1991.930,    7462.939,    5471.009,
   11431.821,   17376.127,    5944.306,
   20872.666,   26818.473,    5945.806,
   30788.475,   36262.506,    5474.031,
   40233.539,   45708.747,    5475.209,
   49679.588,   55628.687,    5949.100,
   59128.381,   65078.161,    5949.780,
   68578.713,   74529.584,    5950.871,
   78030.286,   83510.227,    5479.941,
Is_True,          59.7686%,
Analysis,STARLINK-3632 - STARLINK-1138,
       Rise,         Set, Duration (s),
       0.000,   12990.766,   12990.766,
   26570.825,   45430.982,   18860.157,
   55350.094,   79085.670,   23735.576,
   83769.946,   86400.000,    2630.054,
Is_True,          67.3803%,
Analysis,STARLINK-3632 - STARLINK-2624,
       Rise,         Set, Duration (s),
    1519.862,   16972.982,   15453.120,
   19459.621,   25933.676,    6474.054,
   30309.526,   45773.297,   15463.771,
   48266.490,   54737.068,    6470.578,
   59114.799,   74106.556,   14991.757,
   77092.267,   83097.415,    6005.148,
Is_True,          75.0676%,
Analysis,STARLINK-3632 - STARLINK-3568,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3632 - STARLINK-1433,
       Rise,         Set, Duration (s),
       0.000,    3028.094,    3028.094,
    5500.761,   11981.832,    6481.071,
   16347.510,   22841.158,    6493.648,
   25303.930,   31816.609,    6512.679,
   34811.721,   40775.244,    5963.523,
   45142.395,   51639.744,    6497.349,
   54102.990,   60620.859,    6517.869,
   63089.241,   69584.032,    6494.790,
   73952.672,   80455.938,    6503.266,
   82917.863,   86400.000,    3482.137,
Is_True,          67.1000%,
Analysis,STARLINK-3632 - STARLINK-3543,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3632 - STARLINK-1378,
       Rise,         Set, Duration (s),
       0.000,    3560.760,    3560.760,
    5004.469,   20593.069,   15588.599,
   25279.082,   32352.010,    7072.929,
   33796.095,   52638.381,   18842.286,
   54080.937,   61157.351,    7076.414,
   62601.708,   78208.221,   15606.513,
   83262.997,   86400.000,    3137.003,
Is_True,          82.0422%,
Analysis,STARLINK-3632 - STARLINK-1580,
       Rise,         Set, Duration (s),
       0.000,   20246.716,   20246.716,
   22088.941,   28781.876,    6692.936,
   30601.006,   49028.510,   18427.504,
   50882.387,   57556.589,    6674.202,
   58977.638,   77828.591,   18850.954,
   79687.436,   86354.445,    6667.009,
Is_True,          89.7677%,
